Designator,Mid X,Mid Y,Rotation,Layer
D1,6.2875,57.0,0.0,top
D2,6.15,51.0,0.0,top
D3,11.2875,57.0,0.0,top
D4,18.15,51.0,0.0,top
D5,16.2875,57.0,0.0,top
D6,30.15,51.0,0.0,top
D7,21.2875,57.0,0.0,top
D8,42.15,51.0,0.0,top
J1,41.65,59.54,180.0,top
J2,12.12,11.19,0.0,top
J3,37.62,11.19,0.0,top
K1,8.31,38.61,270.0,top
K2,20.31,38.61,270.0,top
K3,32.31,38.61,270.0,top
K4,44.31,38.61,270.0,top
R1,27.325,61.5,180.0,top
R2,27.325,60.0,180.0,top
R3,27.325,58.5,180.0,top
R4,27.325,57.0,180.0,top
RV1,7.04,23.0,0.0,top
RV2,19.04,23.0,0.0,top
RV3,31.04,23.0,0.0,top
RV4,43.04,23.0,0.0,top
